,AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,NOM_REG_RBD_A,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,ENS_10,ENS_11,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL,check
9887,2020,13384,1,SAINT JOHN´S SCHOOL, ,65154463,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.884769000000000,-71.23278800000000,1,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9889,2020,13387,6,COLEGIO DE ARTES ELISEO VIDELA JORQUERA, ,69040700,1,4,COQ,43,4301,OVALLE,42,LIMARÍ,2,1,0,-30.601518630000000,-71.19231415000000,1,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9890,2020,13388,4,COLEGIO SANTO TOMAS LA SERENA, ,65152843,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.923450000000000,-71.24651299999999,1,10,110,310,0,0,0,0,0,0,0,0,1,1,2, ,GRATUITO,$50.001 A $100.000,True
9891,2020,13389,2,JARDIN INFANTIL RICITOS DORADOS, ,78589490,1,4,COQ,41,4101,LA SERENA,41,ELQUI,4,3,0,-29.934774000000000,-71.24787900000000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9, ,SIN INFORMACION,SIN INFORMACION,True
9895,2020,13393,0,JARDIN INFANTIL MUNDO CLUB, ,65156165,1,4,COQ,41,4101,LA SERENA,41,ELQUI,3,2,0,-29.920183180000000,-71.24812317000000,0,10,0,0,0,0,0,0,0,0,0,0,1,1,2, ,$10.001 A $25.000,GRATUITO,True
9896,2020,13394,9,CORAZON DE JESUS, ,65127931,1,4,COQ,42,4204,SALAMANCA,43,CHOAPA,3,2,0,-31.781540000000000,-70.96090700000001,1,10,110,310,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9897,2020,13395,7,ESCUELA ESPECIAL HOLANDA, ,69041400,1,4,COQ,42,4204,SALAMANCA,43,CHOAPA,2,1,0,-31.778610000000000,-70.96007500000000,0,212,0,0,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9898,2020,13396,5,CENTRO EST.Y DES.INTEGRAL DEL NINO, ,65153082,1,4,COQ,41,4102,COQUIMBO,41,ELQUI,3,2,0,-29.973860000000000,-71.33534200000000,1,110,212,214,0,0,0,0,0,0,0,0,1,1,1, ,GRATUITO,GRATUITO,True
9900,2020,13398,1,JARDIN INFANTIL TISKA MAMA, ,65121782,1,4,COQ,42,4203,LOS VILOS,43,CHOAPA,3,2,0,-31.911907200000000,-71.51147460999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1, ,GRATUITO,GRATUITO,True
9902,2020,13401,5,JARDIN INFANTIL CINDERELLA,19756075, ,0,4,COQ,41,4102,COQUIMBO,41,ELQUI,4,3,0,-29.984518000000000,-71.36190000000001,0,10,0,0,0,0,0,0,0,0,0,0,1,1,1, ,$50.001 A $100.000,$50.001 A $100.000,True
